id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary
1,City of Szczecinek,Fish,0,6,7,7,Urban,,,,,,,,
2,Elblag,Beer,0,1,2,1,Farmlands,,,,,,,,
3,City of Bartoszyce,Cloth,0,3,3,4,Farmlands,,,,,,,,
4,Tczew,0,0,2,2,3,Farmlands,,,,,,,,
5,City of Tczew,0,0,9,12,10,Urban,,,,,,,,
6,Pelpin,Confectionery,0,2,1,2,Farmlands,,,,,,,,
7,Miloradz,Grain,0,1,1,1,Farmlands,,,,,,,,
8,Ostaszewo,Grain,0,1,1,1,Farmlands,,,,,,,,
9,Nowy Dwor Gdanski,Dairy,0,2,1,3,Farmlands,,,,,,,,
10,Przelewice,0,0,1,1,1,Farmlands,,,,,,,,
11,Frombork,Naval supplies,0,1,1,1,Coastline,,,,,,,,
12,Prabuty,Lumber,0,2,1,2,Farmlands,,,,,,,,
13,Morzeszyn,0,0,1,1,1,Farmlands,,,,,,,,
14,Ryjewo,Lumber,0,1,1,1,Farmlands,,,,,,,,
15,Bobowo,0,0,1,1,1,Farmlands,,,,,,,,
16,Subkowy,0,0,1,1,1,Farmlands,,,,,,,,
17,Pruszcz Gdanski,0,0,6,4,7,Urban,,,,,,,,
18,Stegna,Tourists,0,1,1,1,Farmlands,,,,,,,,
19,Zawidz,0,0,1,1,1,Grasslands,,,,,,,,
20,Reda,Lumber,0,4,1,5,Forest,,,,,,,,
21,Wladyslawowo,Amber,0,3,1,2,Coastline,,,,,,,,
22,City of Pruszcz Gdanski,0,0,7,7,6,Urban,,,,,,,,
23,City of Wejherowo,Tourists,0,8,7,8,Urban,,,,,,,,
24,Wejherowo,Tourists,0,5,3,5,Coastline,,,,,,,,
25,Markusy,Vegetables,0,1,1,1,Farmlands,,,,,,,,
26,Sztum,0,0,2,2,3,Farmlands,,,,,,,,
27,Bielsk,0,0,1,1,1,Farmlands,,,,,,,,
28,Lelkowo,Triticale,0,1,1,1,Grasslands,,,,,,,,
29,Stara Biala,0,0,2,1,2,Farmlands,,,,,,,,
