#Legnica Piekary Osiedle
religion = communism_zsl
base_tax = 4
base_production = 3
trade_goods = gu_consumer_goods
base_manpower = 4
capital = "Legnica - Piekary Osiedle"
is_city = yes
discovered_by = western
discovered_by = eastern
culture = dolnoslaska
owner = A28
controller = A28
hre = yes
discovered_by = ottoman
add_core = A28
set_province_flag = has_static_trade_good
set_province_flag = has_gu_consumer_goods_trade_good

1444.11.13 = {
remove_core = A28
add_core = A00
owner = A00
controller = A00
}
