#City of Boleslawiec
religion = communism_pzpr
base_tax = 6
base_production = 8
trade_goods = gu_ceramics
base_manpower = 7
capital = "City of Boleslawiec"
is_city = yes
discovered_by = western
discovered_by = eastern
culture = dolnoslaska
owner = A11
controller = A11
add_core = A11
hre = yes
discovered_by = ottoman
center_of_trade = 1
set_province_flag = has_static_trade_good
set_province_flag = has_gu_ceramics_trade_good

1444.11.13 = {
remove_core = A11
add_core = A00
owner = A00
controller = A00
}
