#City of Lubin
religion = communism_sd
base_tax = 11
base_production = 14
trade_goods = copper
base_manpower = 12
capital = "City of Lubin"
is_city = yes
discovered_by = western
discovered_by = eastern
culture = dolnoslaska
owner = A26
controller = A26
add_core = A26
hre = yes
discovered_by = ottoman
center_of_trade = 2
add_permanent_province_modifier = {
	name = local_airport_modifier
	duration = -1
}
set_province_flag = has_static_trade_good
set_province_flag = has_copper_trade_good

1444.11.13 = {
remove_core = A26
add_core = A00
owner = A00
controller = A00
}
