#Jelenia Gora Centrum
religion = communism_pzpr
base_tax = 5
base_production = 5
trade_goods = iron
base_manpower = 5
capital = "Jelenia Gora - Centrum"
is_city = yes
discovered_by = western
discovered_by = eastern
culture = dolnoslaska
owner = A29
controller = A29
hre = yes
discovered_by = ottoman

add_core = A29
center_of_trade = 2
add_permanent_province_modifier = {
	name = mountain_pass_modifier
	duration = -1
}
set_province_flag = has_static_trade_good
set_province_flag = has_iron_trade_good

1444.11.13 = {
remove_core = A29
add_core = A00
owner = A00
controller = A00
}
