#Czestochowa Stare Miasto
culture = zachodnio-krakowska
religion = communism_zsl
hre = yes
base_tax = 5
base_production = 5
trade_goods = gu_tourists
base_manpower = 4
capital = "Czestochowa - Stare Miasto"
is_city = yes
discovered_by = western
discovered_by = eastern
owner = L37
controller = L37
discovered_by = ottoman
add_core = L37
center_of_trade = 2

set_province_flag = has_static_trade_good
set_province_flag = has_gu_tourists_trade_good

1444.11.13 = {
remove_core = L37
add_core = L00
owner = L00
controller = L00
}
