#Opole Stare Miasto
culture = opolska
religion = communism_pzpr
base_tax = 3
base_production = 2
trade_goods = gu_tourists
base_manpower = 2
capital = "Opole - Stare Miasto"
is_city = yes
discovered_by = western
discovered_by = eastern
owner = H20
controller = H20
hre = yes
discovered_by = ottoman
add_core = H20


center_of_trade = 3
set_province_flag = has_static_trade_good
set_province_flag = has_gu_tourists_trade_good

1444.11.13 = {
remove_core = H20
add_core = H00
owner = H00
controller = H00
}
