id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary,Satellite City,Training Area
1,City of Szczecinek,Fish,0,6,7,7,Urban,2, , , , , , , ,,
2,Elblag,Beer,0,1,2,1,Farmlands, ,1, , , , ,1, ,,
3,City of Bartoszyce,Cloth,0,3,3,4,Farmlands, , , , , , , , ,,
4,Tczew,Triticale,0,2,2,3,Farmlands, , , , , , , , ,,
5,City of Tczew,Consumer Goods,0,9,12,10,Urban,1, , , , , , , ,,
6,Pelpin,Confectionery,0,2,1,2,Farmlands, , , , , , , , ,,
7,Miloradz,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
8,Ostaszewo,Barley,0,1,1,1,Farmlands, , , , , , , , ,,
9,Nowy Dwor Gdanski,Dairy,0,2,1,3,Farmlands, , , , , , , , ,,
10,Przelewice,Consumer Goods,0,1,1,1,Farmlands, , , , , , , , ,,
11,Frombork,Naval supplies,0,1,1,1,Coastline, , , , , , , , ,,
12,Prabuty,Lumber,0,2,1,2,Woods, , , , , , , , ,,
13,Morzeszyn,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
14,Ryjewo,Lumber,0,1,1,1,Woods, , , , , , , , ,,
15,Bobowo,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
16,Subkowy,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
17,Pruszcz Gdanski,Apiculture,0,6,4,7,Urban, ,1, , , , , , ,,
18,Stegna,Tourists,0,1,1,1,Coastline, , , , , , , , ,,
19,Zawidz,0,0,1,1,1,Grasslands, , , , , , , , ,,
20,Reda,Lumber,0,4,1,5,Forest, , , , , , , , ,,
21,Wladyslawowo,Amber,0,3,1,2,Coastline, , , , , , , , ,,
22,City of Pruszcz Gdanski,Glass,0,7,7,6,Urban, , , , , , , , ,,
23,City of Wejherowo,Tourists,0,8,7,8,Urban,1, , , , , , , ,,
24,Wejherowo,Tourists,0,5,3,5,Coastline, , , , , , , , ,,
25,Markusy,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
26,Sztum,Chemicals,0,2,2,3,Farmlands, , , , , , ,1, ,,
27,Bielsk,0,0,1,1,1,Farmlands, , , , , , , , ,,
28,Lelkowo,Triticale,0,1,1,1,Grasslands, , , , , , , , ,,
29,Stara Biala,0,0,2,1,2,Farmlands, , , , , , , , ,,
30,Gorowo Ilackie,Lumber,0,1,1,1,Farmlands, , , , , , , , ,,
31,Sepopol,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
32,Bartoszyce,Lumber,0,2,1,1,Farmlands, , , ,1, , , , ,,
