WOJ;IMIĘ_PIERWSZE;LICZBA_WYSTĄPIEŃ
02;NIKODEM;434
02;LEON;381
02;JAN;381
02;ANTONI;370
02;ALEKSANDER;334
02;JAKUB;333
02;FRANCISZEK;300
02;MIKOŁAJ;283
02;IGNACY;282
02;FILIP;274
02;STANISŁAW;245
02;SZYMON;213
02;WOJCIECH;201
02;ADAM;181
02;MARCEL;170
02;MAKSYMILIAN;169
02;OLIWIER;160
02;TYMON;160
02;KACPER;154
02;WIKTOR;149
02;MICHAŁ;143
02;JULIAN;142
02;TYMOTEUSZ;137
02;MIŁOSZ;127
02;PIOTR;124
02;IGOR;111
02;OSKAR;109
02;HUBERT;101
02;DOMINIK;93
02;DAWID;93
02;GABRIEL;92
02;MARK;86
02;BRUNO;83
02;BARTOSZ;78
02;NATAN;76
02;MILAN;73
02;ARTUR;73
02;DANIEL;70
02;KRZYSZTOF;68
02;TADEUSZ;65
02;CEZARY;64
02;TOMASZ;60
02;LEO;58
02;KAROL;58
02;ALAN;58
02;KUBA;56
02;MATEUSZ;55
02;TEODOR;55
02;FABIAN;48
02;WITOLD;47
02;KAJETAN;46
02;MIESZKO;45
02;MACIEJ;43
02;HENRYK;42
02;FELIKS;37
02;KSAWERY;37
02;KAZIMIERZ;37
02;PAWEŁ;36
02;ARTEM;35
02;KORNEL;35
02;STEFAN;34
02;KAMIL;34
02;GUSTAW;33
02;EMIL;32
02;MAKSYM;32
02;JÓZEF;31
02;OLAF;30
02;BORYS;29
02;RYSZARD;28
02;LEONARD;28
02;JERZY;28
02;TOBIASZ;27
02;BARTŁOMIEJ;26
02;DAVID;26
02;ADRIAN;25
02;ERYK;24
02;KONSTANTY;24
02;LIAM;24
02;OLIVIER;24
02;OLEKSANDR;23
02;JEREMI;22
02;PATRYK;22
02;GRZEGORZ;22
02;DAMIAN;22
02;ALEX;22
02;IWO;20
02;KRYSTIAN;20
02;MATVII;20
02;SEBASTIAN;20
02;RADOSŁAW;19
02;MARCIN;19
02;KORDIAN;19
02;ALEKS;19
02;NATANIEL;18
02;OLIVER;18
02;TYMOFII;18
02;REMIGIUSZ;18
02;LUCJAN;18
02;ALEXANDER;17
02;SAMUEL;17
02;FLORIAN;17
02;ROBERT;17
02;BŁAŻEJ;16
02;ERNEST;16
02;HUGO;16
02;ANDRZEJ;16
02;BENIAMIN;16
02;PRZEMYSŁAW;15
02;BOGDAN;15
02;ŁUKASZ;14
02;DORIAN;14
02;MAKAR;14
02;DAMIR;13
02;MAREK;13
02;GRACJAN;13
02;ROMAN;13
02;JULIUSZ;13
02;LUDWIK;13
02;MIRON;13
02;VINCENT;13
02;EDWARD;12
02;YAROSLAV;12
02;JACEK;12
02;BRAJAN;11
02;BOHDAN;11
02;DMYTRO;11
02;RAFAŁ;11
02;MAURYCY;11
02;DENIS;11
02;NAZAR;11
02;DANYLO;10
02;TYTUS;10
02;KOSMA;10
02;SEWERYN;10
02;ARON;10
02;IVAN;10
02;ALBERT;9
02;MARTIN;9
02;BERNARD;9
02;LUKA;9
02;CYPRIAN;9
02;DANIIL;9
02;DAVYD;9
02;ALEKSY;9
02;MYKHAILO;9
02;ANDRII;9
02;VLADYSLAV;9
02;LEV;9
02;DARIUSZ;8
02;JĘDRZEJ;8
02;ARKADIUSZ;8
02;OLIWER;8
02;FRYDERYK;8
02;WINCENTY;8
02;TIMUR;8
02;OKTAWIAN;7
02;WINCENT;7
02;KONRAD;7
02;LEW;7
02;OREST;7
02;NATHAN;7
02;WŁADYSŁAW;7
02;SVIATOSLAV;7
02;TEO;6
02;BENJAMIN;6
02;MAXIMILIAN;6
02;NIKITA;6
02;EMILIAN;6
02;OLEKSII;6
02;MAKSIM;6
02;GNIEWKO;6
02;DEMIAN;6
02;MATVIY;6
02;ILLIA;6
02;MYRON;6
02;JOACHIM;5
02;MICHAEL;5
02;LEOPOLD;5
02;ARSEN;5
02;NOAH;5
02;MAKS;5
02;OSCAR;5
02;SZCZEPAN;5
02;AMADEUSZ;5
02;JEREMIASZ;5
02;MYROSLAV;5
02;MAX;5
02;ZIEMOWIT;5
02;FELICJAN;5
02;KORNELIUSZ;5
02;YEHOR;5
02;JONASZ;5
02;YURII;4
02;GNIEWOMIR;4
02;KARIM;4
02;VIKTOR;4
02;KASJAN;4
02;HENRY;4
02;LEONARDO;4
02;YAN;4
02;NIKOLAS;4
02;AMIR;4
02;RAFAEL;4
02;BRUNON;4
02;KAI;4
02;COLIN;4
02;YEVHEN;4
02;ROCH;4
02;EDMUND;4
02;LUIS;4
02;MARKO;3
02;OLEK;3
02;ZACHARY;3
02;MATVEY;3
02;ILYA;3
02;KONSTANTIN;3
02;THEO;3
02;VADIM;3
02;OMAR;3
02;FELIX;3
02;PLATON;3
02;AMBROŻY;3
02;OLGIERD;3
02;MYKYTA;3
02;LUCA;3
02;WIT;3
02;STANISLAW;3
02;OLEG;3
02;ANTHONY;3
02;KLEMENS;3
02;MATEO;3
02;MIROSŁAW;3
02;THEODORE;3
02;VADYM;3
02;NICO;3
02;ELIASZ;3
02;MILO;3
02;EMANUEL;3
02;ZAKHAR;3
02;BASTIAN;3
02;TIMOFEI;3
02;NOEL;3
02;CHRISTIAN;3
02;KASPIAN;3
02;RAGNAR;3
02;ARSENII;3
02;PAVLO;3
02;LESZEK;3
02;KEVIN;2
02;STANISLAV;2
02;KIRILL;2
02;ZACHAR;2
02;KASPER;2
02;TIMOFIEJ;2
02;SANTIAGO;2
02;NOE;2
02;TOBIAS;2
02;DENYS;2
02;OLEH;2
02;FRANEK;2
02;ENZO;2
02;JAREMA;2
02;HUGON;2
02;PHILIP;2
02;MARIUSZ;2
02;MARKUS;2
02;MIRAN;2
02;MIECZYSŁAW;2
02;LUKAS;2
02;DANIL;2
02;DANYIL;2
02;PASCAL;2
02;BARTEK;2
02;LUDWIG;2
02;KRZESIMIR;2
02;ERIK;2
02;MANUEL;2
02;JAROSŁAW;2
02;KILIAN;2
02;MAKARY;2
02;KSAWIER;2
02;MICHAL;2
02;TOBIÁŠ;2
02;VLADISLAV;2
02;PAVEL;2
02;NIL;2
02;OSTAP;2
02;THEODOR;2
02;SAMVEL;2
02;ANTONY;2
02;BENEDYKT;2
02;MIKHAIL;2
02;RAYAN;2
02;VOLODYMYR;2
02;NIKOLAI;2
02;KIRYL;2
02;MARKIYAN;2
02;TYCJAN;2
02;EDGAR;2
02;ZBIGNIEW;2
02;ILAY;2
02;NICOLAS;2
02;AARON;2
02;JACOB;2
02;KYRYL;2
02;IVO;2
02;EUGENIUSZ;2
02;KYRYLO;2
02;OKTAWIUSZ;2
02;WOJTEK;2
02;CZESŁAW;2
02;JONATAN;2
02;NATHANIEL;2
02;LIONEL;2
02;BAZYLI;2
04;NIKODEM;338
04;LEON;319
04;ANTONI;284
04;ALEKSANDER;279
04;JAN;264
04;MIKOŁAJ;257
04;IGNACY;253
04;FRANCISZEK;247
04;JAKUB;205
04;STANISŁAW;180
04;TYMON;169
04;FILIP;168
04;WOJCIECH;165
04;SZYMON;153
04;MAKSYMILIAN;141
04;ADAM;139
04;OLIWIER;129
04;KACPER;127
04;MARCEL;126
04;WIKTOR;119
04;IGOR;113
04;MICHAŁ;112
04;OSKAR;100
04;GABRIEL;98
04;JULIAN;86
04;HUBERT;86
04;MIŁOSZ;86
04;NATAN;84
04;CEZARY;71
04;ALAN;71
04;TYMOTEUSZ;66
04;BARTOSZ;63
04;DOMINIK;57
04;PIOTR;57
04;FABIAN;53
04;BRUNO;50
04;MATEUSZ;47
04;KRZYSZTOF;46
04;HENRYK;45
04;ARTUR;42
04;LEO;42
04;DAWID;40
04;WITOLD;38
04;BORYS;37
04;TOMASZ;36
04;KSAWERY;35
04;MILAN;34
04;KAROL;33
04;PAWEŁ;32
04;KORNEL;29
04;MACIEJ;28
04;JÓZEF;27
04;KAJETAN;27
04;EMIL;26
04;SEBASTIAN;26
04;KUBA;26
04;KAMIL;25
04;TEODOR;25
04;KAZIMIERZ;24
04;MAKSYM;22
04;TADEUSZ;22
04;OLAF;20
04;DANIEL;20
04;LIAM;20
04;ALEX;20
04;GUSTAW;19
04;MARCIN;18
04;IWO;17
04;GRZEGORZ;17
04;FELIKS;17
04;MIESZKO;16
04;STEFAN;16
04;KONRAD;16
04;BARTŁOMIEJ;16
04;JERZY;16
04;KORDIAN;15
04;LUCJAN;15
04;FLORIAN;15
04;DORIAN;15
04;LEONARD;15
04;ADRIAN;15
04;OLIVIER;14
04;JULIUSZ;14
04;ALEXANDER;13
04;ERYK;13
04;KONSTANTY;13
04;KRYSTIAN;13
04;REMIGIUSZ;12
04;NATANIEL;12
04;PATRYK;12
04;ŁUKASZ;11
04;TOBIASZ;11
04;JEREMI;11
04;ALEKS;11
04;ROBERT;10
04;FRYDERYK;10
04;DAMIAN;10
04;SAMUEL;10
04;RADOSŁAW;10
04;BŁAŻEJ;10
04;MARK;10
04;BRAJAN;9
04;GRACJAN;9
04;RYSZARD;9
04;ROMAN;9
04;MAX;9
04;MAKS;8
04;ALEKSY;8
04;ALBERT;8
04;DAVID;8
04;MAREK;7
04;JACEK;7
04;ANDRZEJ;7
04;RAFAŁ;7
04;VINCENT;6
04;WINCENTY;6
04;BOGDAN;6
04;BERNARD;6
04;ERNEST;5
04;EDWARD;5
04;SEWERYN;5
04;JOACHIM;5
04;WINCENT;5
04;DAMIR;5
04;OLIVER;5
04;JEREMIASZ;5
04;KSAWIER;4
04;ARTEM;4
04;MATVII;4
04;MARTIN;4
04;TEO;4
04;AMADEUSZ;4
04;LUDWIK;4
04;BASTIAN;4
04;ALEK;4
04;MARIUSZ;4
04;MYKHAILO;4
04;MAXIMILIAN;4
04;SYLWESTER;4
04;JĘDRZEJ;4
04;OLEKSANDR;4
04;OKTAWIAN;4
04;BOGUMIŁ;4
04;ARON;4
04;KEVIN;4
04;NIKOLAS;3
04;HENRY;3
04;NIKITA;3
04;MICHAEL;3
04;PRZEMYSŁAW;3
04;NATHAN;3
04;ZACHARY;3
04;LESZEK;3
04;CZESŁAW;3
04;ARKADIUSZ;3
04;MAKAR;3
04;OLGIERD;3
04;TYMOFII;3
04;DANIIL;3
04;THEO;3
04;VLADYSLAV;3
04;FELICJAN;3
04;CYPRIAN;3
04;ARSEN;3
04;EMANUEL;3
04;OLEK;3
04;DENIS;2
04;NOAH;2
04;LUCAS;2
04;DAVYD;2
04;OSCAR;2
04;KASPIAN;2
04;ILLIA;2
04;COLIN;2
04;ZAKHAR;2
04;BENIAMIN;2
04;MIECZYSŁAW;2
04;YAROSLAV;2
04;AMIR;2
04;FRANKIE;2
04;ZBIGNIEW;2
04;DAVIT;2
04;JAROSŁAW;2
04;NORBERT;2
04;KYRYLO;2
04;RATMIR;2
04;VIKTOR;2
04;RINAT;2
04;BOLESŁAW;2
04;NIKO;2
04;DANIL;2
04;XAVIER;2
04;MURAT;2
04;TIMUR;2
04;SERGIUSZ;2
04;RUBEN;2
04;BENJAMIN;2
04;DMYTRO;2
04;FRANK;2
04;NAZAR;2
04;MARCELI;2
04;THOMAS;2
04;BARTEK;2
04;ANTONIO;2
04;BOGUSZ;2
04;OLEG;2
04;SŁAWOMIR;2
04;JOEL;2
04;TYTUS;2
04;ZACHARIASZ;2
04;ZIEMOWIT;2
04;RUSTAM;2
04;MARKO;2
04;SZCZEPAN;2
04;DARIUSZ;2
04;MARIAN;2
04;HUGO;2
06;NIKODEM;371
06;ALEKSANDER;336
06;ANTONI;321
06;JAN;266
06;FRANCISZEK;266
06;JAKUB;245
06;MIKOŁAJ;224
06;IGNACY;193
06;LEON;191
06;SZYMON;191
06;FILIP;181
06;MARCEL;176
06;STANISŁAW;163
06;WOJCIECH;149
06;TYMON;136
06;WIKTOR;132
06;KACPER;131
06;OLIWIER;122
06;MICHAŁ;122
06;ADAM;120
06;GABRIEL;120
06;MIŁOSZ;112
06;OSKAR;104
06;MAKSYMILIAN;96
06;IGOR;95
06;TYMOTEUSZ;84
06;DAWID;77
06;JULIAN;72
06;PIOTR;71
06;DOMINIK;60
06;KRZYSZTOF;51
06;NATAN;50
06;HUBERT;49
06;BARTOSZ;47
06;MACIEJ;46
06;KAROL;45
06;ALAN;44
06;FABIAN;43
06;MATEUSZ;40
06;TOMASZ;40
06;PAWEŁ;39
06;KAJETAN;37
06;CEZARY;36
06;KUBA;36
06;BARTŁOMIEJ;36
06;MILAN;35
06;BRUNO;32
06;KORNEL;32
06;TADEUSZ;30
06;KAZIMIERZ;30
06;HENRYK;28
06;KSAWERY;27
06;WITOLD;26
06;TEODOR;25
06;STEFAN;24
06;ARTUR;23
06;JÓZEF;23
06;PATRYK;21
06;KAMIL;21
06;KRYSTIAN;20
06;LEO;19
06;RAFAŁ;18
06;DANIEL;18
06;TOBIASZ;17
06;OLIVIER;16
06;EMIL;16
06;BORYS;15
06;LEONARD;15
06;SEBASTIAN;14
06;ŁUKASZ;14
06;ERYK;14
06;OLAF;14
06;DAMIAN;13
06;REMIGIUSZ;13
06;ADRIAN;12
06;NATANIEL;12
06;PRZEMYSŁAW;12
06;KONSTANTY;11
06;MARCIN;11
06;GUSTAW;11
06;EDWARD;10
06;RYSZARD;10
06;OLIVER;9
06;FLORIAN;9
06;ALEKS;9
06;FELIKS;9
06;ROBERT;9
06;SZCZEPAN;8
06;MIESZKO;8
06;GRZEGORZ;8
06;JEREMI;8
06;ALEXANDER;8
06;MAURYCY;8
06;JULIUSZ;8
06;KORDIAN;8
06;MARK;8
06;BŁAŻEJ;7
06;MAKSYM;7
06;ERNEST;7
06;ALEKSY;7
06;LIAM;7
06;DORIAN;7
06;OLGIERD;7
06;MAREK;7
06;KONRAD;6
06;JERZY;6
06;ALEX;5
06;SAMUEL;5
06;SYLWESTER;5
06;SEWERYN;5
06;ALBERT;5
06;DENIS;5
06;WŁADYSŁAW;5
06;LUDWIK;5
06;OLEKSANDR;4
06;OLEK;4
06;MAKS;4
06;LUCJAN;4
06;AMADEUSZ;4
06;OSCAR;4
06;RADOSŁAW;4
06;DAVID;4
06;VINCENT;4
06;THOMAS;3
06;BENIAMIN;3
06;LEW;3
06;MYKHAILO;3
06;JEREMIASZ;3
06;ARTEM;3
06;MATVII;3
06;ANDRZEJ;3
06;ROMAN;3
06;CYPRIAN;3
06;IWO;3
06;ARON;3
06;MAX;3
06;JACEK;3
06;WINCENTY;3
06;NORBERT;3
06;ANTHONY;3
06;DEMIAN;3
06;VICTOR;3
06;ELIASZ;3
06;DMYTRO;3
06;RYAN;3
06;BOGUSŁAW;2
06;KORNELIUSZ;2
06;MARKO;2
06;BENJAMIN;2
06;KASPIAN;2
06;KRZESIMIR;2
06;JONATAN;2
06;BERNARD;2
06;HENRY;2
06;AMIR;2
06;BOGDAN;2
06;OREST;2
06;IVAN;2
06;IWAN;2
06;HUGO;2
06;EMIR;2
06;NICOLAS;2
06;IAN;2
06;WIT;2
06;TEO;2
06;KSAWIER;2
06;IVO;2
06;VIKTOR;2
06;HEKTOR;2
06;LOUIS;2
06;DAJAN;2
06;LUKA;2
06;FRYDERYK;2
06;JĘDRZEJ;2
06;MIRON;2
06;JAROSŁAW;2
06;TYMOFII;2
06;KASJAN;2
06;LEONARDO;2
06;LUKAS;2
06;ZIEMOWIT;2
06;BRAJAN;2
06;BOLESŁAW;2
06;WINCENT;2
06;MIROSŁAW;2
06;RUBEN;2
06;TIMUR;2
06;MARCELI;2
06;MAKAR;2
08;NIKODEM;151
08;LEON;140
08;ANTONI;136
08;ALEKSANDER;131
08;JAN;104
08;MIKOŁAJ;101
08;IGNACY;92
08;JAKUB;88
08;OLIWIER;83
08;STANISŁAW;80
08;FRANCISZEK;78
08;FILIP;70
08;TYMON;69
08;SZYMON;69
08;WOJCIECH;64
08;MARCEL;59
08;MAKSYMILIAN;58
08;MICHAŁ;57
08;WIKTOR;57
08;ADAM;55
08;KACPER;52
08;GABRIEL;49
08;TYMOTEUSZ;47
08;IGOR;46
08;JULIAN;46
08;MIŁOSZ;43
08;OSKAR;38
08;PIOTR;35
08;MILAN;34
08;HUBERT;34
08;DAWID;33
08;BRUNO;32
08;NATAN;30
08;CEZARY;27
08;LEO;25
08;KAROL;25
08;MARK;24
08;KRZYSZTOF;24
08;FABIAN;23
08;KSAWERY;23
08;DOMINIK;22
08;DANIEL;21
08;WITOLD;21
08;KUBA;20
08;BARTOSZ;20
08;HENRYK;19
08;TEODOR;18
08;BORYS;16
08;MACIEJ;16
08;MIESZKO;16
08;OLAF;15
08;KORNEL;15
08;KAJETAN;15
08;PAWEŁ;14
08;TOMASZ;14
08;ALEX;14
08;TADEUSZ;13
08;OLIVIER;13
08;ALAN;13
08;KAZIMIERZ;13
08;PATRYK;12
08;SEBASTIAN;11
